                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.0951,                0.69496,                0.86641,                0.92564,                0.90312,                 0.9009,                0.54255,                 1.3664,                0.68832,                0.92761,             0.00048687,             0.00048687,             0.00048687
                     77,                 1.1282,                 0.6913,                0.87604,                0.94053,                0.91204,                0.92673,                0.56812,                  1.301,                  0.663,                0.91923,             0.00047656,             0.00047656,             0.00047656
                     78,                 1.0941,                0.69759,                0.87986,                0.93109,                0.92449,                0.93142,                0.56332,                 1.3047,                0.70474,                0.91847,             0.00046625,             0.00046625,             0.00046625
                     79,                 1.0955,                0.68834,                0.89384,                0.92273,                0.90381,                0.90292,                0.53605,                 1.3579,                0.68567,                0.92466,             0.00045594,             0.00045594,             0.00045594
                     80,                 1.0813,                0.68292,                0.87695,                0.93818,                0.92015,                0.92922,                  0.545,                 1.3301,                0.67504,                 0.9233,             0.00044563,             0.00044563,             0.00044563
                     81,                  1.132,                0.70327,                0.87528,                0.93803,                0.92471,                0.92448,                0.54425,                 1.3742,                0.69434,                0.92625,             0.00043531,             0.00043531,             0.00043531
                     82,                 1.0545,                0.66395,                0.88346,                   0.93,                0.91306,                0.90696,                0.53655,                 1.3624,                0.69194,                0.92698,               0.000425,               0.000425,               0.000425
                     83,                 1.0575,                 0.6635,                0.88428,                0.94276,                0.91879,                0.92575,                0.55986,                  1.317,                0.66797,                0.91997,             0.00041469,             0.00041469,             0.00041469
                     84,                 1.0654,                 0.6495,                0.87902,                0.93103,                0.91711,                0.93138,                0.54148,                   1.36,                0.67502,                0.92707,             0.00040438,             0.00040438,             0.00040438
                     85,                 1.0664,                0.66246,                0.87858,                0.94371,                0.92008,                 0.9364,                0.55465,                 1.3323,                0.67127,                0.92719,             0.00039406,             0.00039406,             0.00039406
                     86,                 1.0941,                0.67083,                0.87894,                0.94253,                 0.9192,                0.94181,                0.58149,                 1.2675,                0.65981,                0.91669,             0.00038375,             0.00038375,             0.00038375
                     87,                 1.0982,                0.66421,                0.86664,                0.93643,                0.90574,                0.93577,                0.56567,                  1.273,                0.66684,                 0.9127,             0.00037344,             0.00037344,             0.00037344
                     88,                 1.0097,                0.64142,                0.86526,                0.90986,                0.89421,                0.89647,                0.54073,                 1.3528,                0.68798,                 0.9223,             0.00036313,             0.00036313,             0.00036313
